agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,acreage of farmlands affected by flooding,15,0,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of farmers affected by flooding,32,0,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,km of farm to market roads constructed,8,10,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,km of dams cleared,50,120,agency 71,region 1: barima/waini,output,infrastructure_transport,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of farmers within the regions,3280,3300,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,acreage of croplands under cultivation,12400,14000,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,volume of livestock production (mt),10000,12000,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,volume of crops production (mt),194000,200000,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of processing facilities in operation,6,7,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,percentage contribution of regional production to national export,15,19,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of farms certified to produce food and agricultural commodities for export,76,90,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,"number of measures to ensure food, availability, accessibility utilization / nutrition and stability within the regions",7,8,agency 71,region 1: barima/waini,outcome,social protection and welfare,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,percentage change in regional agricultural production,24.7,30,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of farm visits conducted by extension officer,7328,7500,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,ratio of extension officers to farmers,1:164,1:150,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of training sessions delivered to farmers,84,90,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number and percentage of farmers trained,"2,520 (76.8 %)","3,000 (90.1%)",agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,"number of farmers / households benefiting from relief initiatives (cash grants, fertilisers, etc)",3105,3300,agency 71,region 1: barima/waini,outcome,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number of shade houses constructed,13,16,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number and percentage of project sites inspected,45,50,agency 71,region 1: barima/waini,output,agriculture,local government
AGENCY 71 - REGION 1: BARIMA/WAINI,715 - agriculture,number and percentage of municipal markets in operation,3,4,agency 71,region 1: barima/waini,outcome,economic development,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,"level of technical support given to rdcs, ipvcs and ndcs through: meetings held",35,40,agency 72,region 2: pomeroon/supenaam,output,administration,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,community outreaches conducted,58,60,agency 72,region 2: pomeroon/supenaam,output,social protection and welfare,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,number of reports on local government matters disseminated,40,40,agency 72,region 2: pomeroon/supenaam,output,governance,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,number of skilled personnel recruited,200,100,agency 72,region 2: pomeroon/supenaam,output,administration,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,number of villages supported with the preparation of their village sustainability plans,10,10,agency 72,region 2: pomeroon/supenaam,outcome,economic development,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,number of consultations held with the amerindian villages regarding the village sustainability plans,20,25,agency 72,region 2: pomeroon/supenaam,output,social protection and welfare,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,regional disaster preparedness plan established and implemented,Yes,Yes,agency 72,region 2: pomeroon/supenaam,output,environment_climate_risk,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,number of amerindian villages/communities with access to internet within the region,10/11,11/11,agency 72,region 2: pomeroon/supenaam,outcome,ict_communication,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,721 - regional administration and finance,number of government buildings with internet access in amerindian villages,50,52,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of structures repaired and maintained,170,258,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of d&i structures constructed (new),20,30,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,length of channel maintained,1100,1210,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,km of trenches cleaned,1100,1210,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,km of drains desilted,2000,2200,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,acres of new farmlands made available,400,440,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,acres of farmlands affected by flooding,797,0,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of farmers affected by flooding,355,0,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,km of access dams maintained,1600,1760,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,km of farm to market roads constructed,25,28,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,km of dams cleared,60,66,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of farmers within the region,9563,9600,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,acres of croplands under cultivation,94000,100000,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,volume of livestock production,189100,200000,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of processing facilities in operation,30,32,agency 72,region 2: pomeroon/supenaam,output,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of farm visits conducted by extension officer,10250,10500,agency 72,region 2: pomeroon/supenaam,output,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,ratio of extension officers to farmers,1:694,1:694,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of training sessions delivered to farmers,872,880,agency 72,region 2: pomeroon/supenaam,output,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of farmers trained,3980,3990,agency 72,region 2: pomeroon/supenaam,output,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,"number of farmers/households benefiting from relief initiatives (cash grants, fertilisers, etc)",5540,5600,agency 72,region 2: pomeroon/supenaam,outcome,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of conservancy dams heightened,4,4,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of conservancy dams constructed,3,3,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of shade houses constructed,23,24,agency 72,region 2: pomeroon/supenaam,output,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of mounds/ pens (livestock) constructed,6,10,agency 72,region 2: pomeroon/supenaam,output,agriculture,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of project sites inspected,280,320,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,722 - agriculture,number of municipal markets in operation,6,6,agency 72,region 2: pomeroon/supenaam,outcome,economic development,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,723 - public works,number of communities accessing electricity,87,96,agency 72,region 2: pomeroon/supenaam,outcome,utilities,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,723 - public works,number of communities accessing potable water,87,96,agency 72,region 2: pomeroon/supenaam,outcome,utilities,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,723 - public works,"number of roads, trails, bridges and buildings maintained: km of roads maintained",237,260,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
AGENCY 72 - REGION 2: POMEROON/SUPENAAM,723 - public works,"number of roads, trails, bridges and buildings maintained: number of bridges and other infrastructure maintained",66,73,agency 72,region 2: pomeroon/supenaam,output,infrastructure_transport,local government
